,Ciś. pow. za turb.[Pa],ECT - wyjście z sil.[°C],MAF[kg/h],Moc[kW],Moment obrotowy[Nm],Obroty[obr/min],Temp. oleju w misce[°C],Temp. pal. na wyjściu sil.[°C],Temp. powietrza za turb.[°C],Zużycie paliwa średnie[g/s],Rotation,Temp. spalin 1...4/6 - srednia[°C],CO,HC,LAMBDA,CO2,O2,NO,PM,Сalorific value MJ/kg,Cetane number,Density at 15 °C,Viscosity at 40 °C 
116475.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116476.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.18795126382054,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116482.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116502.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116522.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2153000831604,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116530.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116533.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116534.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116542.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
116561.0,57274.0,66.1999969482422,509.600006103516,72.56816976743804,288.28722978706463,2404.0,83.0,51.0999984741211,74.0,5.2172999382019,2400.0,475.5,0.04,10.0,1.96,7.6,10.53,168.0,5.11,38,56,882.9,4.454
