,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
734,0.052923346,0.006059247,0.006303787,0.00772103,200,60,400,"{'max_depth': 200, 'max_leaf_nodes': 60, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
572,0.061354733,0.006619778,0.000399971,0.000799942,50,300,400,"{'max_depth': 50, 'max_leaf_nodes': 300, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
815,0.049983692,0.006249692,0.003124332,0.006248665,300,40,400,"{'max_depth': 300, 'max_leaf_nodes': 40, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
968,0.055853319,0.00815454,0,0,400,300,400,"{'max_depth': 400, 'max_leaf_nodes': 300, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
437,0.055258131,0.007927581,0.00372467,0.006061331,30,60,400,"{'max_depth': 30, 'max_leaf_nodes': 60, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
644,0.060258055,0.011266736,0.000399685,0.00079937,100,70,400,"{'max_depth': 100, 'max_leaf_nodes': 70, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
122,0.057954502,0.006548464,0.000402594,0.000805187,10,40,400,"{'max_depth': 10, 'max_leaf_nodes': 40, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,82,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
788,0.059602499,0.006394302,0,0,200,1000,400,"{'max_depth': 200, 'max_leaf_nodes': 1000, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
554,0.052987909,0.007756772,0,0,50,100,400,"{'max_depth': 50, 'max_leaf_nodes': 100, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
1058,0.056235313,0.007641887,0.003121662,0.006243324,1000,200,400,"{'max_depth': 1000, 'max_leaf_nodes': 200, 'min_samples_split': 400}",-2.894946358,-0.446730661,-5.235129305,-0.423784303,-0.913678148,-1.982853755,1.862402608,1,-9.954470096,-0.52670175,-40.56159319,-0.359747092,-1.757378814,-10.63197819,15.37943256,11,-3.155070537,-0.725742207,-6.36879841,-0.599789206,-1.325661651,-2.435012402,2.168569295,11,-14.39513778,0.627676467,-6.727881266,-0.965172372,-0.558448426,-4.403792675,5.606332641,11
