,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
334,0.161305475,0.006944252,0.003124762,0.006249523,0.03,2,50,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 50}",-45.88132215,-63.38953271,-129.2670217,-48.66024993,-87.64528356,-74.96868202,30.92342388,121,-2459.41974,-4035.962075,-22118.25509,-2550.502745,-9322.286885,-8097.285306,7444.929735,125,-49.59253714,-63.52922221,-148.7220733,-50.50250237,-96.55199058,-81.77966512,37.54159932,121,-2.271999327,-30.19837054,-0.625081242,-2.836892505,-0.054316034,-7.197331928,11.54588468,121
344,0.223544168,0.02161481,0.003124619,0.006249237,0.03,3,50,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 50}",-66.71253793,-61.64916028,-121.4110647,-48.90644705,-83.04931683,-76.34570536,25.05004699,123,-4819.608256,-3805.384746,-19809.20405,-2544.440612,-8157.073343,-7827.1422,6273.840772,124,-69.42339847,-61.68780062,-140.7451741,-50.44244852,-90.31651755,-82.52306786,31.89177748,122,-5.411981946,-28.41598586,-0.455429725,-2.827772831,0.077465291,-7.406741014,10.68333707,122
354,0.292770958,0.033379358,0.006248808,0.007653195,0.03,4,50,"{'learning_rate': 0.03, 'max_depth': 4, 'n_estimators': 50}",-68.40761256,-65.15845378,-117.8559041,-49.11901932,-83.26850357,-76.76189866,23.23624754,124,-5226.456148,-4258.466425,-18542.03826,-2552.337573,-8194.608938,-7754.781469,5696.322105,119,-72.29423316,-65.25692626,-136.1691531,-50.52066481,-90.52407933,-82.95301134,29.55637629,123,-5.953250282,-31.91835032,-0.362328016,-2.839652759,0.073220155,-8.200072244,12.05169384,124
394,0.353955555,0.036068,0.006249428,0.007653955,0.03,8,50,"{'learning_rate': 0.03, 'max_depth': 8, 'n_estimators': 50}",-68.50979034,-66.41054298,-117.4894618,-49.65246233,-84.15806247,-77.24406399,22.90172316,125,-5244.025252,-4436.714848,-18320.19039,-2604.321268,-8339.057037,-7788.86176,5582.188451,120,-72.41564232,-66.60866947,-135.3520979,-51.03255107,-91.31843755,-83.34547965,29.02400354,124,-5.976624127,-33.29622757,-0.346028321,-2.917855322,0.056883611,-8.495970346,12.58640613,125
384,0.367416477,0.0672575,0.012497997,0.006248999,0.03,7,50,"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 50}",-68.50979034,-66.41054298,-117.4894618,-49.65246233,-84.15806247,-77.24406399,22.90172316,125,-5244.025252,-4436.714848,-18320.19039,-2604.321268,-8339.057037,-7788.86176,5582.188451,120,-72.41564232,-66.60866947,-135.3520979,-51.03255107,-91.31843755,-83.34547965,29.02400354,124,-5.976624127,-33.29622757,-0.346028321,-2.917855322,0.056883611,-8.495970346,12.58640613,125
374,0.341119671,0.006536365,0.006248999,0.007653429,0.03,6,50,"{'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 50}",-68.50979034,-66.41054298,-117.4894618,-49.65246233,-84.15806247,-77.24406399,22.90172316,125,-5244.025252,-4436.714848,-18320.19039,-2604.321268,-8339.057037,-7788.86176,5582.188451,120,-72.41564232,-66.60866947,-135.3520979,-51.03255107,-91.31843755,-83.34547965,29.02400354,124,-5.976624127,-33.29622757,-0.346028321,-2.917855322,0.056883611,-8.495970346,12.58640613,125
364,0.30772028,0.007108258,0.006249285,0.007653779,0.03,5,50,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 50}",-68.50979034,-66.41054298,-117.4894536,-49.6413747,-84.196905,-77.24961333,22.90674311,128,-5244.025252,-4436.714848,-18320.1893,-2607.143621,-8345.093434,-7790.633292,5581.783271,123,-72.41564232,-66.60866947,-135.3520938,-51.06019606,-91.35148294,-83.35761692,29.01966563,127,-5.976624127,-33.29622757,-0.346028241,-2.922101177,0.056200917,-8.49695604,12.58593712,128
324,0.103376055,0.007879225,0.006249237,0.007653721,0.03,1,50,"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 50}",-24.16711571,-68.36893947,-131.8684969,-50.2740481,-105.6460487,-76.06492976,38.48859998,122,-878.6382752,-4681.027811,-23814.87421,-2802.614237,-14038.03221,-9243.037347,8574.200346,134,-29.6418332,-68.41803718,-154.3206863,-52.93972267,-118.4822021,-84.76049627,45.37285112,128,-0.168935826,-35.18479001,-0.749735917,-3.216160746,-0.587649321,-7.981454363,13.64354092,123
256,0.215335083,0.009188907,0.000999546,0.001999092,0.02,2,70,"{'learning_rate': 0.02, 'max_depth': 2, 'n_estimators': 70}",-50.38325646,-70.51701815,-137.458112,-54.94881702,-94.56760394,-81.57496152,31.92455924,129,-2931.675623,-4997.652729,-24445.80304,-3209.814288,-11169.51177,-9350.89149,8112.133919,135,-54.14495011,-70.69407845,-156.3515367,-56.65522296,-105.6859109,-88.70633984,38.49775009,129,-2.900286116,-37.63233072,-0.796091771,-3.828739121,-0.26323031,-9.084135607,14.33428527,129
266,0.285395193,0.006722178,0.006249142,0.007653604,0.02,3,70,"{'learning_rate': 0.02, 'max_depth': 3, 'n_estimators': 70}",-71.1886057,-68.96280156,-129.0706924,-55.78267347,-89.25950388,-82.8528554,25.45158803,131,-5442.053034,-4762.434362,-21795.43001,-3275.346063,-9798.918353,-9014.836365,6749.041577,133,-73.77027202,-69.01039315,-147.6327539,-57.2306392,-98.98948607,-89.32670886,32.18035813,130,-6.240079266,-35.81407038,-0.60136251,-3.927322969,-0.108221283,-9.338211282,13.42663391,130
