,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
115,0.31261324882507324,0.009867408521736664,0.006777238845825195,0.007286657171924193,0.008,4,60,"{'learning_rate': 0.008, 'max_depth': 4, 'n_estimators': 60}",-5.499996135874295,-7.9480060497275336,-2.1252666843528467,-1.0524162736200195,-1.184508207413788,-3.5620386701976967,2.7205719401350077,291,-30.956759016967098,-64.61569004848536,-6.611545263066218,-1.6282809914223504,-1.7587009786884378,-21.114195259725893,24.306044436857213,284,-5.5638798528515245,-8.03838852311117,-2.571292527711738,-1.2760411401762681,-1.3261602386923075,-3.7551524565086014,2.6482117151208495,289,-46.876337524483716,-44.67659396798454,-0.2596457081721304,-7.894728794116487,-0.5596209256053408,-20.053385384072442,21.191531684546167,266
459,0.6771278858184815,0.018608898637939516,0.003124570846557617,0.006249141693115234,0.04,6,100,"{'learning_rate': 0.04, 'max_depth': 6, 'n_estimators': 100}",-2.500971390472706,-3.7017074673661803,-5.3268986533890335,-2.834211966433275,-0.9902706691153909,-3.0708120293553174,1.4280970698109166,140,-7.419862378694551,-19.39423974174164,-41.5993241032491,-15.198201125272439,-1.757566410305638,-17.073838751852673,13.69809597889879,226,-2.7239424330727973,-4.403889160928285,-6.449753801754692,-3.898487030281419,-1.3257324052408306,-3.7603609662556052,1.7127533842657814,290,-10.475226958768443,-12.709716840237435,-6.925591973519606,-82.02244998244888,-0.5586147872038805,-22.53832010843565,30.024476985395236,322
251,0.06539039611816407,0.006529253594802164,0.01303877830505371,0.0066027565943193615,0.02,2,20,"{'learning_rate': 0.02, 'max_depth': 2, 'n_estimators': 20}",-5.12243916117896,-8.316395048646589,-2.063686356060388,-0.9286974305627306,-1.0480840902543889,-3.4958604173406114,2.8466250132905433,279,-26.885981271747823,-70.57706120102057,-7.374478587052941,-1.732714038496232,-1.4256354790616395,-21.59917411547584,26.194555210018105,291,-5.185169358058406,-8.401015486298103,-2.715599121198293,-1.316325962099142,-1.193999781851588,-3.7624219419011062,2.728251316608671,291,-40.58065491732012,-48.89066534016189,-0.4050013926518099,-8.46520995538949,-0.26425751300148814,-19.721157823704957,20.805576267601822,262
173,0.1385526180267334,0.005064036674127169,0.0031250476837158202,0.0062500953674316405,0.01,2,40,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 40}",-5.132359042999639,-8.326451782731672,-2.0617886127749787,-0.9307924431036717,-1.0484745094685954,-3.499973278215711,2.850911768126412,281,-26.98770765802818,-70.7444338860225,-7.396296431141335,-1.7385107708762841,-1.4306557878692918,-21.659520906787524,26.257233127320575,293,-5.19496945689079,-8.41097104299037,-2.7196132870578005,-1.318525984149074,-1.1961002415639301,-3.7680360025303927,2.731561017151603,292,-40.737980391929234,-49.008980476445785,-0.4091581748523403,-8.49687547423068,-0.26870953683288135,-19.784340810858186,20.865277449412112,263
94,0.15996870994567872,0.0071845660767581076,0.005323219299316406,0.005715230010408194,0.008,2,50,"{'learning_rate': 0.008, 'max_depth': 2, 'n_estimators': 50}",-5.134090200302495,-8.328448538331648,-2.0615146590846196,-0.930830382230792,-1.0485521933901856,-3.500687194667948,2.8517935639975063,282,-27.005480496610126,-70.77768965150563,-7.401213048040305,-1.7380930850421483,-1.4316606287417186,-21.670827381987984,26.26976249024219,294,-5.196679756980425,-8.412947738545963,-2.7205170552746596,-1.318367583431172,-1.1965202166038478,-3.7690064701672137,2.7322916406975426,293,-40.76546706836881,-49.03248885492054,-0.4100948991927318,-8.494593802802127,-0.2696006325168725,-19.794449051560214,20.877289999126347,264
145,0.43956432342529295,0.013563989007152201,0.003124427795410156,0.006248855590820312,0.008,7,60,"{'learning_rate': 0.008, 'max_depth': 7, 'n_estimators': 60}",-5.504005359302868,-8.02101756002296,-2.1252666843528467,-1.2935446839087565,-1.0007207961139,-3.5889110167402665,2.7357209179189566,295,-30.994580883578042,-66.5180715460888,-6.611545263066218,-1.939126150241021,-1.402840318816574,-21.49323283235813,24.99985320109573,288,-5.567277690539429,-8.155861177465493,-2.571292527711738,-1.3925250986036197,-1.1844156022345256,-3.7742744193109616,2.6922268552432653,294,-46.93483113005396,-46.02138046137394,-0.2596457081721304,-9.592767031509982,-0.2440427014152433,-20.61053340650505,21.39637141353001,281
155,0.4685392379760742,0.019899348113209647,0.004991865158081055,0.006739430969513865,0.008,8,60,"{'learning_rate': 0.008, 'max_depth': 8, 'n_estimators': 60}",-5.504005359302868,-8.02101756002296,-2.1252666843528467,-1.2935446839087565,-1.0007207961139,-3.5889110167402665,2.7357209179189566,295,-30.994580883578042,-66.5180715460888,-6.611545263066218,-1.939126150241021,-1.402840318816574,-21.49323283235813,24.99985320109573,288,-5.567277690539429,-8.155861177465493,-2.571292527711738,-1.3925250986036197,-1.1844156022345256,-3.7742744193109616,2.6922268552432653,294,-46.93483113005396,-46.02138046137394,-0.2596457081721304,-9.592767031509982,-0.2440427014152433,-20.61053340650505,21.39637141353001,281
125,0.37176012992858887,0.021154953681219994,0.010972690582275391,0.006231142167164121,0.008,5,60,"{'learning_rate': 0.008, 'max_depth': 5, 'n_estimators': 60}",-5.504005359302868,-8.097507183581138,-2.1252666843528467,-1.1593103239995353,-1.08798003436885,-3.594813917121048,2.767479775965283,297,-30.994580883578042,-67.32513668119036,-6.611545263066218,-1.7321491874898696,-1.5808567768854296,-21.64885375844198,25.295002303774975,292,-5.567277690539429,-8.205189618844305,-2.571292527711738,-1.316111388709128,-1.2573212703543313,-3.7834384992317864,2.7082183960996775,296,-46.93483113005396,-46.591891841103674,-0.2596457081721304,-8.462124372165743,-0.401908192178422,-20.530080248734784,21.62451515489329,276
135,0.4705387592315674,0.07904167839808945,0.0031246185302734376,0.006249237060546875,0.008,6,60,"{'learning_rate': 0.008, 'max_depth': 6, 'n_estimators': 60}",-5.504005359302868,-8.02101756002296,-2.1252666843528467,-1.2949271017114434,-1.0685960304043778,-3.602762547158899,2.7227486109422556,298,-30.994580883578042,-66.5180715460888,-6.611545263066218,-1.9403288628393396,-1.556060371245579,-21.524117385363596,24.975101485300094,290,-5.567277690539429,-8.155861177465493,-2.571292527711738,-1.3929568775950458,-1.2474214890106627,-3.786961952464474,2.680118757807209,297,-46.93483113005396,-46.02138046137394,-0.2596457081721304,-9.599337029216562,-0.3799186706029296,-20.6390225998839,21.369878749656742,283
86,0.18214359283447265,0.031601609792075984,0.006249713897705078,0.0076543050453643,0.008,1,70,"{'learning_rate': 0.008, 'max_depth': 1, 'n_estimators': 70}",-5.825780883667363,-8.265886882775522,-1.9773263145535092,-1.0023459868401474,-0.8562563868500565,-3.5855192909373192,2.954066951391185,294,-34.58632121627209,-69.99603879764908,-6.853599012810676,-1.4028357717644728,-1.0087845182989204,-22.76951586335905,26.6584403640335,302,-5.881013621500301,-8.366363534872788,-2.6179379314282216,-1.184413682698943,-1.0043826553156523,-3.810822285163181,2.871785050149596,298,-52.48965592208444,-48.47994273725866,-0.3057623049556142,-6.663200515305607,0.10540707986697428,-21.566630879947464,23.76709419097741,297
