,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
27,18.22964463,0.38128062,0.136489248,0.009198727,5,600,"{'max_depth': 5, 'n_estimators': 600}",-8.429889343,-3.18863212,-37.46672859,-4.290588105,-35.08262213,-17.69169206,15.29186609,62,-78.92629872,-11.70126524,-2057.578033,-28.54116463,-2258.995896,-887.1485314,1040.068086,49,-8.884047429,-3.420711218,-45.36053387,-5.342393156,-47.52889538,-22.10731621,19.96033821,54,0.89499686,0.909548107,0.848824808,0.95706361,0.744515952,0.870989867,0.072053735,48
17,16.54794855,0.245293793,0.127992344,0.006666939,4,600,"{'max_depth': 4, 'n_estimators': 600}",-7.594978015,-4.494454472,-38.58807378,-4.13309516,-35.43064213,-18.04824871,15.56046092,69,-67.95911397,-23.40343206,-2051.039428,-23.14910158,-2266.363287,-886.3828727,1041.200686,48,-8.243731799,-4.837709381,-45.2884028,-4.811351326,-47.60633663,-22.15750639,19.88536606,55,0.909587546,0.819089245,0.849305215,0.965175252,0.743682727,0.857367997,0.075899799,61
22,3.055451679,0.058216705,0.020902157,0.007561755,5,100,"{'max_depth': 5, 'n_estimators': 100}",-7.958977347,-3.702938794,-38.08196838,-3.722417842,-34.88593854,-17.67044818,15.47226421,61,-70.91668073,-17.22904545,-2085.682358,-21.82071238,-2367.024543,-912.5346681,1076.576114,57,-8.421204233,-4.150788533,-45.66927149,-4.671264538,-48.65207646,-22.31292105,20.363404,56,0.905652814,0.866817841,0.846759916,0.967173637,0.732298313,0.863740504,0.077498277,50
12,2.759683228,0.050863206,0.021988583,0.007557289,4,100,"{'max_depth': 4, 'n_estimators': 100}",-7.376134388,-4.441874958,-39.33064434,-3.573431614,-35.25563803,-17.99554467,15.85918335,67,-70.42926296,-22.94495988,-2089.149884,-17.30568207,-2375.302962,-915.0265502,1079.447053,58,-8.392214425,-4.790089757,-45.70721917,-4.160009865,-48.73707995,-22.35732263,20.37588464,57,0.906301272,0.822633279,0.846505148,0.973965901,0.731362054,0.856153531,0.081466756,69
14,8.271350431,0.132704115,0.073560858,0.004759261,4,300,"{'max_depth': 4, 'n_estimators': 300}",-9.014751272,-4.569980038,-38.53397983,-3.718635161,-35.57384511,-18.28223828,15.46055355,70,-95.02528622,-24.16770088,-2021.910233,-18.25903413,-2304.935244,-892.8594995,1041.614546,56,-9.748091414,-4.916065589,-44.96565615,-4.273059107,-48.00974113,-22.38252268,19.7960142,58,0.87357885,0.813181375,0.851445407,0.972531709,0.739320382,0.850011544,0.076390653,72
30,0.322018003,0.010308928,0.003924561,0.006051464,6,10,"{'max_depth': 6, 'n_estimators': 10}",-5.169418408,-3.523884811,-34.10263128,-4.769407115,-39.74447205,-17.46196273,15.99937312,46,-39.09756748,-19.61192095,-1719.541353,-33.19610954,-2962.202054,-954.729801,1198.07627,69,-6.252804769,-4.428534853,-41.46735286,-5.761606507,-54.42611555,-22.46728291,21.21204846,59,0.947984798,0.848397987,0.873661173,0.950060864,0.664985946,0.857018154,0.104076455,62
60,0.312857676,0.007081856,0.010371733,0.006619907,20,10,"{'max_depth': 20, 'n_estimators': 10}",-5.169418408,-3.523884811,-34.10263128,-4.769407115,-39.74447205,-17.46196273,15.99937312,46,-39.09756748,-19.61192095,-1719.541353,-33.19610954,-2962.202054,-954.729801,1198.07627,69,-6.252804769,-4.428534853,-41.46735286,-5.761606507,-54.42611555,-22.46728291,21.21204846,59,0.947984798,0.848397987,0.873661173,0.950060864,0.664985946,0.857018154,0.104076455,62
80,0.319883442,0.011782703,0.003127956,0.006255913,100,10,"{'max_depth': 100, 'n_estimators': 10}",-5.169418408,-3.523884811,-34.10263128,-4.769407115,-39.74447205,-17.46196273,15.99937312,46,-39.09756748,-19.61192095,-1719.541353,-33.19610954,-2962.202054,-954.729801,1198.07627,69,-6.252804769,-4.428534853,-41.46735286,-5.761606507,-54.42611555,-22.46728291,21.21204846,59,0.947984798,0.848397987,0.873661173,0.950060864,0.664985946,0.857018154,0.104076455,62
50,0.319305801,0.005803945,0.003924417,0.006051554,8,10,"{'max_depth': 8, 'n_estimators': 10}",-5.169418408,-3.523884811,-34.10263128,-4.769407115,-39.74447205,-17.46196273,15.99937312,46,-39.09756748,-19.61192095,-1719.541353,-33.19610954,-2962.202054,-954.729801,1198.07627,69,-6.252804769,-4.428534853,-41.46735286,-5.761606507,-54.42611555,-22.46728291,21.21204846,59,0.947984798,0.848397987,0.873661173,0.950060864,0.664985946,0.857018154,0.104076455,62
40,0.323300123,0.005684882,0.000999594,0.001999187,7,10,"{'max_depth': 7, 'n_estimators': 10}",-5.169418408,-3.523884811,-34.10263128,-4.769407115,-39.74447205,-17.46196273,15.99937312,46,-39.09756748,-19.61192095,-1719.541353,-33.19610954,-2962.202054,-954.729801,1198.07627,69,-6.252804769,-4.428534853,-41.46735286,-5.761606507,-54.42611555,-22.46728291,21.21204846,59,0.947984798,0.848397987,0.873661173,0.950060864,0.664985946,0.857018154,0.104076455,62
70,0.327666283,0.013096921,0.009778738,0.007187858,50,10,"{'max_depth': 50, 'n_estimators': 10}",-5.169418408,-3.523884811,-34.10263128,-4.769407115,-39.74447205,-17.46196273,15.99937312,46,-39.09756748,-19.61192095,-1719.541353,-33.19610954,-2962.202054,-954.729801,1198.07627,69,-6.252804769,-4.428534853,-41.46735286,-5.761606507,-54.42611555,-22.46728291,21.21204846,59,0.947984798,0.848397987,0.873661173,0.950060864,0.664985946,0.857018154,0.104076455,62
62,3.179409504,0.082014511,0.026365519,0.00760942,20,100,"{'max_depth': 20, 'n_estimators': 100}",-8.10808131,-3.206307171,-38.08305364,-4.136394128,-34.68271711,-17.64331067,15.42665828,55,-82.26382523,-15.46383353,-2089.584301,-29.99446813,-2365.26868,-916.5150215,1074.129014,60,-9.069940751,-3.932408108,-45.71197109,-5.476720564,-48.634028,-22.5650137,20.18254637,65,0.890556632,0.880463097,0.84647323,0.954877308,0.732496894,0.860973432,0.073197578,52
52,3.176892662,0.104096713,0.022693062,0.006147357,8,100,"{'max_depth': 8, 'n_estimators': 100}",-8.10808131,-3.206307171,-38.08305364,-4.136394128,-34.68271711,-17.64331067,15.42665828,55,-82.26382523,-15.46383353,-2089.584301,-29.99446813,-2365.26868,-916.5150215,1074.129014,60,-9.069940751,-3.932408108,-45.71197109,-5.476720564,-48.634028,-22.5650137,20.18254637,65,0.890556632,0.880463097,0.84647323,0.954877308,0.732496894,0.860973432,0.073197578,52
82,3.148424673,0.084782434,0.029224253,0.005480499,100,100,"{'max_depth': 100, 'n_estimators': 100}",-8.10808131,-3.206307171,-38.08305364,-4.136394128,-34.68271711,-17.64331067,15.42665828,55,-82.26382523,-15.46383353,-2089.584301,-29.99446813,-2365.26868,-916.5150215,1074.129014,60,-9.069940751,-3.932408108,-45.71197109,-5.476720564,-48.634028,-22.5650137,20.18254637,65,0.890556632,0.880463097,0.84647323,0.954877308,0.732496894,0.860973432,0.073197578,52
42,3.145590496,0.09305937,0.0281178,0.006246999,7,100,"{'max_depth': 7, 'n_estimators': 100}",-8.10808131,-3.206307171,-38.08305364,-4.136394128,-34.68271711,-17.64331067,15.42665828,55,-82.26382523,-15.46383353,-2089.584301,-29.99446813,-2365.26868,-916.5150215,1074.129014,60,-9.069940751,-3.932408108,-45.71197109,-5.476720564,-48.634028,-22.5650137,20.18254637,65,0.890556632,0.880463097,0.84647323,0.954877308,0.732496894,0.860973432,0.073197578,52
32,3.158981657,0.08327966,0.01864357,0.006360728,6,100,"{'max_depth': 6, 'n_estimators': 100}",-8.10808131,-3.206307171,-38.08305364,-4.136394128,-34.68271711,-17.64331067,15.42665828,55,-82.26382523,-15.46383353,-2089.584301,-29.99446813,-2365.26868,-916.5150215,1074.129014,60,-9.069940751,-3.932408108,-45.71197109,-5.476720564,-48.634028,-22.5650137,20.18254637,65,0.890556632,0.880463097,0.84647323,0.954877308,0.732496894,0.860973432,0.073197578,52
72,3.176694727,0.114991851,0.027014065,0.003582207,50,100,"{'max_depth': 50, 'n_estimators': 100}",-8.10808131,-3.206307171,-38.08305364,-4.136394128,-34.68271711,-17.64331067,15.42665828,55,-82.26382523,-15.46383353,-2089.584301,-29.99446813,-2365.26868,-916.5150215,1074.129014,60,-9.069940751,-3.932408108,-45.71197109,-5.476720564,-48.634028,-22.5650137,20.18254637,65,0.890556632,0.880463097,0.84647323,0.954877308,0.732496894,0.860973432,0.073197578,52
11,1.403252983,0.031136493,0.015095663,0.003105025,4,50,"{'max_depth': 4, 'n_estimators': 50}",-4.91905279,-4.650800961,-40.43507186,-4.337959049,-37.64262179,-18.39710129,16.87803455,72,-34.10959342,-25.00773453,-2152.580493,-23.70855361,-2614.110014,-969.9032777,1163.268073,77,-5.840341892,-5.000773393,-46.3959103,-4.869143005,-51.128368,-22.64690732,21.37804637,71,0.954620773,0.806687835,0.841844749,0.964333631,0.704353863,0.85436817,0.09703353,70
21,1.526332712,0.036535376,0.013967562,0.002267104,5,50,"{'max_depth': 5, 'n_estimators': 50}",-7.214459309,-4.143147199,-39.03195031,-3.992299452,-37.33694792,-18.34376084,16.249465,71,-60.25652187,-22.36833318,-2148.458921,-24.06302465,-2608.160302,-972.6614206,1156.955913,78,-7.762507448,-4.729517224,-46.35147162,-4.905407695,-51.07015079,-22.96381096,21.10272037,72,0.919835034,0.827090658,0.842147571,0.963800377,0.705026754,0.851580079,0.088790445,71
81,1.571732807,0.050887395,0.012502337,0.00625117,100,50,"{'max_depth': 100, 'n_estimators': 50}",-9.160984754,-3.451555054,-39.16664032,-4.408831169,-37.11850706,-18.66130367,16.03659984,73,-107.8547592,-18.63780246,-2157.432983,-28.06831458,-2606.051967,-983.6091652,1150.769901,81,-10.38531459,-4.317152124,-46.44817524,-5.297953811,-51.04950506,-23.49962017,20.76961765,73,0.856510585,0.855928015,0.841488225,0.95777495,0.705265199,0.843393395,0.080616804,73
41,1.569233227,0.046605636,0.015621758,5.54E-06,7,50,"{'max_depth': 7, 'n_estimators': 50}",-9.160984754,-3.451555054,-39.16664032,-4.408831169,-37.11850706,-18.66130367,16.03659984,73,-107.8547592,-18.63780246,-2157.432983,-28.06831458,-2606.051967,-983.6091652,1150.769901,81,-10.38531459,-4.317152124,-46.44817524,-5.297953811,-51.04950506,-23.49962017,20.76961765,73,0.856510585,0.855928015,0.841488225,0.95777495,0.705265199,0.843393395,0.080616804,73
71,1.584178543,0.04557545,0.015617943,8.10E-06,50,50,"{'max_depth': 50, 'n_estimators': 50}",-9.160984754,-3.451555054,-39.16664032,-4.408831169,-37.11850706,-18.66130367,16.03659984,73,-107.8547592,-18.63780246,-2157.432983,-28.06831458,-2606.051967,-983.6091652,1150.769901,81,-10.38531459,-4.317152124,-46.44817524,-5.297953811,-51.04950506,-23.49962017,20.76961765,73,0.856510585,0.855928015,0.841488225,0.95777495,0.705265199,0.843393395,0.080616804,73
61,1.612643814,0.094016355,0.015183163,0.000883241,20,50,"{'max_depth': 20, 'n_estimators': 50}",-9.160984754,-3.451555054,-39.16664032,-4.408831169,-37.11850706,-18.66130367,16.03659984,73,-107.8547592,-18.63780246,-2157.432983,-28.06831458,-2606.051967,-983.6091652,1150.769901,81,-10.38531459,-4.317152124,-46.44817524,-5.297953811,-51.04950506,-23.49962017,20.76961765,73,0.856510585,0.855928015,0.841488225,0.95777495,0.705265199,0.843393395,0.080616804,73
51,1.574678326,0.058744089,0.018083286,0.004917653,8,50,"{'max_depth': 8, 'n_estimators': 50}",-9.160984754,-3.451555054,-39.16664032,-4.408831169,-37.11850706,-18.66130367,16.03659984,73,-107.8547592,-18.63780246,-2157.432983,-28.06831458,-2606.051967,-983.6091652,1150.769901,81,-10.38531459,-4.317152124,-46.44817524,-5.297953811,-51.04950506,-23.49962017,20.76961765,73,0.856510585,0.855928015,0.841488225,0.95777495,0.705265199,0.843393395,0.080616804,73
31,1.585396481,0.043334379,0.014269733,0.007912374,6,50,"{'max_depth': 6, 'n_estimators': 50}",-9.160984754,-3.451555054,-39.16664032,-4.408831169,-37.11850706,-18.66130367,16.03659984,73,-107.8547592,-18.63780246,-2157.432983,-28.06831458,-2606.051967,-983.6091652,1150.769901,81,-10.38531459,-4.317152124,-46.44817524,-5.297953811,-51.04950506,-23.49962017,20.76961765,73,0.856510585,0.855928015,0.841488225,0.95777495,0.705265199,0.843393395,0.080616804,73
10,0.278080463,0.005813946,0.00412693,0.006072119,4,10,"{'max_depth': 4, 'n_estimators': 10}",-8.690835821,-3.847518607,-35.11929606,-5.02585221,-40.75070224,-18.68684099,15.89709266,79,-99.07931377,-29.12032446,-1716.462447,-43.83127654,-2982.514725,-974.2016174,1192.382434,80,-9.95385924,-5.396325089,-41.43021177,-6.620519356,-54.6124045,-23.60266399,20.42341475,79,0.868185392,0.774897123,0.873887388,0.934061668,0.662688658,0.822744046,0.094846429,79
3,4.472462893,0.068201613,0.041784954,0.006495113,3,200,"{'max_depth': 3, 'n_estimators': 200}",-7.39883694,-5.385766878,-38.63423467,-10.18575702,-37.14678323,-19.75027575,14.8971108,81,-70.47404472,-31.45496907,-2024.977909,-124.3795642,-2324.544048,-915.1661069,1033.230064,59,-8.394882055,-5.608472971,-44.99975454,-11.15255864,-48.21352557,-23.67383876,18.83389141,80,0.906241695,0.756850099,0.851220017,0.812887471,0.737102699,0.812860396,0.061754207,83
5,8.956419706,0.123290911,0.08241024,0.005886867,3,400,"{'max_depth': 3, 'n_estimators': 400}",-7.428160554,-5.056431838,-39.5288384,-10.74813335,-37.55023066,-20.06235896,15.20740014,82,-71.9767687,-28.11679518,-2126.795476,-130.6658479,-2379.726264,-947.4562304,1069.676056,66,-8.483912346,-5.302527245,-46.11719285,-11.43091632,-48.78243807,-24.02339737,19.24402789,81,0.904242478,0.7826545,0.843739236,0.803430593,0.730861795,0.812985721,0.05835957,82
9,22.42263956,0.338362472,0.197978783,0.00768293,3,1000,"{'max_depth': 3, 'n_estimators': 1000}",-7.430565809,-5.139987127,-39.61661316,-10.63524813,-37.72257827,-20.1089985,15.26663765,83,-70.18854532,-28.04362395,-2155.001303,-125.0878408,-2393.435039,-954.3512704,1080.739563,68,-8.377860426,-5.295623093,-46.42199159,-11.18426756,-48.92274562,-24.04049766,19.4011789,82,0.906621522,0.783220121,0.841666886,0.811821964,0.729311384,0.814528375,0.059105183,80
6,11.19202204,0.142483483,0.100745153,0.006773343,3,500,"{'max_depth': 3, 'n_estimators': 500}",-7.593815426,-5.429883503,-39.6106006,-10.65835474,-37.48893536,-20.15631793,15.12471081,84,-75.58295387,-31.68643701,-2142.067772,-127.8101833,-2362.212777,-947.8720247,1067.637478,67,-8.693845747,-5.629070705,-46.28247802,-11.30531659,-48.60260052,-24.10266232,19.15551341,83,0.899444828,0.75506083,0.842617144,0.807726561,0.732842506,0.807538374,0.06001786,86
